int_faure ,Physical Tuples,Total Time (s),Data Time (s),Update Time (s),Z3 Time (s)
12,0.023129773139953614,0.014735746383666991,0.0021319150924682616,0.0062621116638183595
14,0.026005029678344727,0.017087578773498535,0.0030721187591552734,0.005845332145690918
16,0.028092288970947264,0.01879279613494873,0.003228640556335449,0.006070852279663086
18,0.030826592445373537,0.020529890060424806,0.0029273271560668946,0.007369375228881836
20,0.030039978027343754,0.019235801696777344,0.0034499406814575196,0.007354235649108887
22,0.03770315647125244,0.024205327033996582,0.004786825180053711,0.008711004257202148
24,0.03483617305755615,0.023091602325439452,0.003828001022338867,0.007916569709777832
26,0.035958623886108404,0.02320585250854492,0.0044584512710571286,0.008294320106506348
29,0.05442025661468506,0.015917372703552247,0.002051997184753418,0.036450886726379396
31,0.0659518003463745,0.016204404830932616,0.002694368362426758,0.04705302715301513
33,0.06886813640594482,0.01773993968963623,0.0027625560760498047,0.04836564064025879
35,0.09150989055633545,0.022501564025878905,0.0036027193069458007,0.06540560722351074
37,0.07005162239074707,0.016927266120910646,0.0031594276428222657,0.04996492862701416
40,0.0762453556060791,0.01653435230255127,0.002972698211669922,0.056738305091857906